,,,,,,,,,,,,
,,,,Order: #6512592  -  Ship Date:  6/17/2021,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,1177295 - BSA GRIZZLY CAMP,,,,,"  Est. Total: $6,379.05",,,,,,
,LABRANT ROAD,,,,,  Lines: 99    Pieces: 162,,,,,,
,LABRANT ROAD,,,,,,,,,,,
,,,,,,  Status: Draft,,,,,,
,"BIGFORK ,  MT   59911-6291",,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,  Export Date: 6/15/2021,,,,,,,,,,,
,,,,,,,,,,,,
,Number,Product Name,,,Brand,,Pack/Size,Non-Stock,Price,Per LB,Each,QTY Ord
,335274,BEEF PATTY 4/1 ROUND 80% M1 INDIVIDUALLY QUICK FROZEN,,,AMERISTAR/CATTL,,1/15#,,$47.14,,N,2
,110779,TOMATOES 2 LAYER 5X6 REPACK,,,SNOBOY,,1/LUG,,$31.31,,N,3
,665983,ONIONS YELLOW DRY JUMBO SACK,,,SNOBOY,,1/50#,,$14.17,,N,1
,116785,PINEAPPLE CHUNK IN JUICE,,,MONARCH,,6/#10,,$64.11,,N,1
,38375,PEACH SLICED IN PEAR JUICE 90-105 COUNT CHOICE,,,MONARCH-D,,6/#10,,$64.63,,N,2
,24118,FRUIT COCKTAIL DICED IN PEAR JUICE CHOICE,,,MONARCH-D,,6/#10,,$67.94,,N,1
,32364,PEAR SLICED NORTHWEST IN PEAR JUICE 80-90CT,,,MONARCH,,6/#10,,$51.01,,N,1
,657355,CEREAL 1Z ASSORTED BOWL,,,KELLOGGS,,96/BOWL,,$48.55,,N,5
,45411,SAUCE TACO MILD 9GM PACKET,,,PPI,,200/9GM,,$8.73,,N,3
,824873,SAUCE BBQ BULLSEYE 1Z CUP,,,KRAFT,,100/1Z,,$12.21,,N,2
,365918,SAUCE SOY 6ML PACKET,,,KIKKOMAN,,500/6ML,,$12.18,,N,1
,511994,HASHBROWN SHREDDED INDIVIDUALLY QUICK FROZEN,,,LAMB WESTON,,6/3#,,$17.88,,N,1
,83224,JELLY ASST#4 GRAPE/MIX FRUIT/STRAWBERRY .5Z CUP,,,SMUCKERS,,200/.5Z,,$12.65,,N,2
,20187,PEANUT BUTTER SINGLE SERVE CUP,,,MONARCH,,200/0.75Z,,$33.70,,N,2
,27133,SYRUP PANCAKE MAPLE IMITATION SINGLE SERVE CUP,,,MONARCH,,100/1.5Z,,$16.10,,N,2
,22481,MUSTARD YELLOW SINGLE SERVE POUCH,,,MONARCH,,500/5.5GR,,$13.86,,N,1
